"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"961","nutlin-3",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"962","BRD-A94546435","23786410","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.293803188577094,62,26,NA,0
"963","BRD-K55149044","54654201","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.901321630495107,62,26,NA,0
"964","troglitazone","5591","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"ABCB11; ACSL4; AKR1B1; CCL2; CCND1; CD36; CYP3A4; ESRRA; ESRRG; FABP4; IL8; INS; IRS1; JUN; LEP; LPL; MAPK3; PPARA; PPARD; PPARG; PPARGC1A; SERPINE1; SLC29A1; SLC2A1; SLC2A4; TNF; TRPM3; UCP2",0
"965","BRD-K60932973","10452020","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"966","BRD-K19914944","54650153","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.00919590248933457,62,26,NA,0
"967","BRD-K05649647","1242560","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.737253739515546,62,26,NA,0
"968","BRD-K98803880","54618470","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.355845933391178,62,26,NA,0
"969","ML-167","56643210","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.93163449980233,62,26,NA,0
"970","BRD-K30842649",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"971","BRD-A84238007","3122973","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.271893182156648,62,26,NA,0
"972","BRD-A28105619",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"973","BRD-K00069117","54649961","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.89577638468134,62,26,NA,0
"974","arbidol",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"975","isosilybin-b",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.996683119135911,62,26,NA,0
"976","BRD-K49893531",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"977","BRD-K59023263",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.936252772932885,62,26,NA,0
"978","BRD-K97808269","9062","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,-0.781563883467546,62,26,NA,0
"979","tanespimycin","73707384","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"HSP90AA1; HSP90AB1",0
"980","BRD-K86336638","54654199","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0.994768391596347,62,26,NA,0
"981","BRD-A59468452",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,NA,0
"982","SIB-1893","5311432","HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"GRM4; GRM5",0
"983","I-CBP112",NA,"HEPG2","trt_cp","down",0,0.314451408995329,0.314451408995329,0,0,62,26,"CREBBP",0
