"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSG00000163069.12",315249.145116257,1.13914596677357,0.204979070396206,0.00154541429511084,0.00608733420077579,"SGCB"
"ENSG00000128050.8",268040.526631428,1.53950962249848,0.215118906596858,1.31779915429146e-14,4.956528225951e-13,"PAICS"
"ENSG00000145284.11",1861925.29650116,-1.79727027760818e-06,0.00144267439487408,0.670194987330243,0.85238075762085,"SCD5"
"ENSG00000163624.5",119110.666518629,-2.54024151900209,0.381568956546591,7.17614269506589e-12,1.63262197653155e-10,"CDS1"
"ENSG00000138814.16",1116564.13792888,-2.16708776807222,0.463255218898035,5.69263556576459e-07,4.96837400887095e-06,"PPP3CA"
"ENSG00000174607.10",399604.237191522,-1.54136578581128,0.788426357156926,0.00530402511132546,0.0180922125521488,"UGT8"
"ENSG00000164104.11",152422.573476885,2.29728011325818,0.331629659020204,4.00256642603718e-14,1.38052256228591e-12,"HMGB2"
"ENSG00000150753.11",338030.60496914,1.19975519028407e-05,0.00144269399467242,0.00591119188599703,0.0198933366199265,"CCT5"
"ENSG00000079215.13",3233755.74377626,1.03658345486171e-06,0.00144268874910836,0.642791733617841,0.834421877448035,"SLC1A3"
"ENSG00000131711.14",3135188.37846868,-1.30034078357037,0.330402298465709,8.39344428303869e-06,5.71345656811304e-05,"MAP1B"
"ENSG00000198961.9",1076960.79975101,-1.00857668192686,0.253645558901128,5.69553724976564e-06,4.02028360744125e-05,"PJA2"
"ENSG00000129596.4",146806.433926667,0.994084165371308,0.26256911019775,2.7015029904172e-06,2.04212651545216e-05,"CDO1"
"ENSG00000138829.11",6067.39731594495,3.16241124788169,0.747083099279293,8.87087517006345e-08,9.0614102831751e-07,"FBN2"
"ENSG00000164402.13",1511822.57277115,-1.40233425945714,0.304664758977673,4.58577249984992e-07,4.07349690809226e-06,"SEPT8"
"ENSG00000112984.11",4689.13814888297,5.96782867795469,0.399800039187633,2.20481947092485e-53,6.41472770776135e-50,"KIF20A"
"ENSG00000146005.3",637928.146137935,-8.70496658411342e-06,0.00144269083449878,0.0155672339565732,0.0463660960792552,"PSD2"
"ENSG00000170458.13",123383.158300104,1.81398515505875,0.831933825100519,0.000154921907209882,0.000781004742697049,"CD14"
"ENSG00000182578.13",186449.544054513,1.7889461759351e-06,0.00144269348428873,0.154128819087579,0.312892166972133,"CSF1R"
"ENSG00000072571.19",4104.80800271564,3.92815027050638,0.56416153330568,1.0436945348108e-14,3.99798810282332e-13,"HMMR"
"ENSG00000113763.10",321151.180394429,-3.44725394169817e-05,0.00144287517892558,1.20180966365112e-09,1.77755699653662e-08,"UNC5A"
"ENSG00000137267.5",1500762.50963679,-0.956240375234785,0.316960291414947,0.000182534345905188,0.000905168312459453,"TUBB2A"
"ENSG00000124491.15",49414.646431416,3.98571384856048,0.731474032698835,1.32917892485882e-10,2.35969812001138e-09,"F13A1"
"ENSG00000007866.19",26004.0834393448,1.97018268706979,0.532150864936057,1.69229891711346e-06,1.33282013440178e-05,"TEAD3"
"ENSG00000146122.16",1433530.75267748,-8.43462487216447e-06,0.00144269569071433,0.00582337658622748,0.019629537651115,"DAAM2"
"ENSG00000112118.18",116046.47519805,1.69860901662121,0.154630252589596,7.02997787585083e-30,2.48359075528273e-27,"MCM3"
"ENSG00000170899.10",214995.80634859,-2.1311130208804e-06,0.00144266552205628,0.649145172924127,0.837836179975139,"GSTA4"
"ENSG00000112742.9",2791.52409404981,4.97698076152617,0.58235778341517,2.1848488500964e-20,1.97916894003238e-18,"TTK"
"ENSG00000112290.12",486155.421641455,-2.25099065376003,0.412552396901741,1.01966086668885e-08,1.25173557871508e-07,"WASF1"
"ENSG00000277443.2",842594.689354959,0.948168062666174,0.245216470773439,2.04602719878222e-06,1.58789432373715e-05,"MARCKS"
"ENSG00000188191.14",1086664.38863998,-3.95095961790335e-05,0.00144292917366798,9.64375390435246e-11,1.75801212073878e-09,"PRKAR1B"
"ENSG00000105855.9",298663.548855744,4.48742267695464e-06,0.00144269583693869,0.00201466266116312,0.0077053213131092,"ITGB8"
"ENSG00000146701.11",474471.211356023,3.2112135188886e-06,0.00144266889455624,0.424716519598124,0.654146363224484,"MDH2"
"ENSG00000105854.12",771569.369609887,1.30796875242711,0.517756845204233,0.000111156656703149,0.000579891972563328,"PON2"
"ENSG00000091129.19",897682.140786693,-1.36552198995999e-06,0.00144267876669576,0.694955371962514,0.869086714980037,"NRCAM"
"ENSG00000106565.17",120404.497995364,2.37303806051639,0.584257605370319,3.13388403392797e-07,2.87626469322838e-06,"TMEM176B"
"ENSG00000164733.20",1538728.21912444,1.40103316411438,0.264514831063838,1.86438739360052e-09,2.64902615591731e-08,"CTSB"
"ENSG00000038945.14",37349.1333206918,3.62200996959079,0.915636623624814,1.97780075117424e-07,1.89430722604721e-06,"MSR1"
